,index,title,stops,ratingValue,ratingCount,reviewCount,михалово,молодёжная,тракторный завод,петровщина,октябрьская,автозаводская,площадь якуба коласа,немига,спортивная,площадь франтишка богушевича,площадь ленина,ковальская слобода,вокзальная,площадь победы,юбилейная площадь,кунцевщина,пушкинская,грушевка,могилёвская,малиновка,московская,парк челюскинцев,каменная горка,фрунзенская,борисовский тракт,восток,купаловская,пролетарская,первомайская,институт культуры,академия наук,уручье,партизанская,fallback fun,hotels,bars,gasstation,hypermarket,concert hall,industrial enterprise,cafe,fast food,software,flower shop,spa,mobile phones,fitness,confectionary,supermarket,fallback services,sushi,sportcenter,currency exchange,malls,restaurants,museum,wednesday,sunday,friday,tuesday,monday,thursday,saturday,num_compet,center,youtube,instagram,twitter,ok,whatsapp,vkontakte,facebook,viber,telegram,lat,lon
20,20,32.08 Вечное Лето,176.302,4.400000095367432,106,46,8266.314867764977,4447.7061971781595,6337.788192461269,10036.285108757196,1361.3724241783102,10397.597033338556,2094.160152046995,1353.1563505789834,9241.512242004977,3226.467688579338,2591.1942542628904,3987.1671896252706,3030.1592164960457,1603.0529481003778,2669.818717437881,12257.191098924022,7493.723601743657,6134.542742545074,13460.84045764727,11628.660470332863,7183.9143058480395,5834.679840027605,13873.839718403675,2595.3980514818704,11607.895339955823,9809.832242249431,1349.5799746564628,3526.709105544218,2212.115094094656,3904.4619620116664,3891.5745085464323,13988.892627543675,8482.893802958739,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,3,1248.972769635318,0,1,0,0,0,0,1,0,0,27.563145,53.914853
21,21,Кафе Golden Coffee,114.953,4.300000190734863,645,207,8373.635828403256,4532.123404110726,6328.597937025401,10147.221257995076,1488.5137435581944,10393.114678260952,2028.7496075277763,1477.9054019651348,9311.8026850307,3342.7341692739155,2719.2813576606973,4117.144453487128,3160.231732870405,1582.1095958051624,2770.906700177161,12327.43747149568,7563.468945436776,6242.261209090517,13450.122029209291,11743.344609995549,7103.402632836791,5755.501783226983,13942.626774809592,2696.443741467936,11524.673508381005,9727.29235599075,1476.3821720161254,3566.981983846791,2301.932933098432,4032.1391433836125,3813.7129523619396,13904.249443989567,8483.77744418854,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,20,20,20,20,22,20,3,1371.5923617353985,0,1,0,0,0,0,1,0,0,27.563699,53.916022
22,22,Кофевариум. кофе&эмоции,111.263,4.5,206,112,5724.36535042472,2426.5842907425795,7914.806247346335,7456.247226602929,1753.0221269645576,11774.25764230737,4499.867178184659,1279.5015743950958,7233.393251161253,644.9358473684579,517.6226784383272,2158.379677693292,934.786828667771,3775.5091669134454,778.882491189422,10201.844635931511,5547.152586314846,3603.9279114622063,14886.107642984854,9022.540365806346,9574.730342063069,8228.841807631863,11825.955161500806,769.413615735596,13997.087575116604,12200.763224236416,1771.8864454542327,4625.171499478678,2834.9165988014483,1412.4281543793095,6309.659785498288,16384.14342649903,9824.744786517413,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,8,1945.7287743647569,1,1,0,0,0,0,1,0,0,27.544709,53.898321
23,23,Золотой гребешок,166.449,4.599999904632568,305,125,7183.207580538667,3744.2282470990976,6570.205300441453,8896.943017235468,314.25333860825623,10516.191597106565,3055.3737295290744,474.85827607735405,8605.717631888956,2111.4068604582653,1263.8985025535997,2588.3023078514425,1645.0278030278778,2312.955257496095,1868.3834768655602,11597.862836819068,6888.0178123612795,5068.186279485879,13622.59442251758,10436.661983366457,8110.411927862037,6765.963480660893,13222.933113060923,1805.6300969448312,12531.25011358185,10735.365246766383,330.20353480359785,3362.4981918248372,1608.8912078268906,2562.254511973578,4853.951014190462,14918.252094002359,8567.501582333676,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14,15,15,15,15,15,14,8,488.41410968923196,0,1,0,0,0,0,1,0,0,27.557446,53.902117
24,24,Раковский Бровар,294.33,4.800000190734863,836,384,6340.5189126751075,2726.851011920054,7596.787305926713,8101.010728633032,1341.029214651695,11538.304052875024,3904.6224699896584,664.6819054563117,7591.247320239366,1290.788353407239,944.9259371828342,2677.3884149730898,1466.6855048432728,3225.827851948036,846.9605947039399,10589.91018751812,5867.628012970081,4209.14341731498,14645.963896375217,9690.921548992215,9009.24261648418,7658.951847896093,12214.659406141978,781.4568586657691,13438.005278236948,11639.203595283177,1356.7552868704163,4379.065527150309,2603.1529983037913,2123.6162612935823,5724.196862138073,15824.33595921629,9588.862296827589,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,12,12,12,13,13,13,4,1504.8769508284495,0,1,0,0,0,0,1,0,0,27.548437,53.904349
25,25,Animal Farm,344.259,4.300000190734863,242,78,11501.902713552472,8038.297770027324,2921.2716254674647,13159.109296919894,4073.9369432505014,6946.816039716999,1715.3780681338544,4668.7785624535745,12890.539280138924,6469.540915314108,5532.6468797612715,6034.595178397344,5727.752970142113,2136.770445514246,6169.798315537321,15900.889444335933,11149.964561920238,9410.130094651464,9918.08928888318,14622.064616935162,3854.521916972136,2574.8223759595544,17523.484962463255,6099.608644149216,8219.21511626482,6437.3630266695345,4055.013400295813,2284.36224220562,3306.487385626155,6678.48919589961,1173.0378413439726,10600.897252225821,5143.870545720614,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,10,10,10,10,0,2,3881.3762702996105,0,1,0,0,0,1,1,0,0,27.596126,53.90938
26,26,ГлавПит,91.6736,0.0,0,0,11575.603144870101,8083.1638245430195,2985.166298112692,13239.856032030586,4138.514181494358,6992.064009327806,1705.1205425514295,4719.701510930383,12930.612365090383,6533.959041435861,5605.062604868796,6136.866342874968,5809.780215192915,2174.048749481479,6218.738578039691,15942.473635960001,11188.315713622693,9479.355352620354,9948.345904550624,14709.617777675727,3759.970244976422,2467.906631041826,17564.31786375074,6148.04765682388,8138.048301714261,6352.649299981378,4119.471956026962,2416.917206419031,3403.075024012843,6762.511320351323,1037.631366071932,10521.477327923008,5205.134424095768,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,9,9,9,9,0,1,3944.6487778111627,0,0,0,0,0,0,0,0,0,27.59647,53.910712
27,27,Coven Coffee House,384.707,4.400000095367432,43,16,11158.17653665298,7593.545011041067,3505.353018687486,12845.164580637966,3706.726199508891,7533.2761646999115,1155.0826613822364,4248.79464303484,12429.447535109584,6094.143354758239,5192.013865800858,5845.809126711369,5429.8695095840685,1687.7643776692664,5739.983210183146,15443.440829702035,10684.568295930498,9049.70419776563,10499.080571079254,14339.645085215125,4136.058591859646,2803.29514662786,17063.63775635559,5668.278446107778,8549.558413242245,6755.188931879376,3687.427034423613,2415.2646990353765,3101.474056427739,6387.532883963353,1030.7232301446866,10936.329133392815,5728.408641600848,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,13,13,13,13,10,1,3510.0181765398106,0,1,0,0,0,0,0,0,0,27.591911,53.912951
28,28,Yummy Coffee to Go,235.537,4.099999904632568,14,6,10866.378757651444,7422.006309041481,3294.884031590704,12524.954360120437,3441.2044579111866,7363.231372296941,1283.6505498873266,4047.186175196897,12279.330515529517,5836.385984227519,4897.211085134971,5425.425258079853,5093.996612508985,1545.8185314336458,5549.4398024863785,15287.282768300685,10541.519714524087,8775.117081794302,10379.988613842153,13991.952089524599,4477.726477519328,3179.2049091164863,16910.70998256209,5479.866053035316,8852.909868423336,7069.19672764614,3422.3523996284084,1869.5881323227427,2687.5571752374462,6045.816385495492,1547.4393457783763,11235.285698014073,5505.749087133869,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,0,2,3249.478150335526,0,1,0,0,0,0,0,0,0,27.590638,53.907605
29,29,Latte,122.274,4.0,24,10,11105.620454410277,7680.487488317265,3059.6364488827303,12756.580823661785,3690.6855037375067,7122.573503576894,1510.9424933872183,4304.361551964628,12538.845470946317,6084.6042287194805,5138.941891549614,5623.526149283609,5325.045753697609,1807.7643491390777,5806.801134339828,15546.191515635579,10801.611485652356,9018.731063961455,10130.954623856003,14214.972050212911,4265.095109656892,2984.6186729053284,17169.7929114661,5737.458005732824,8623.510403245486,6843.977363980888,3671.9417679258077,1929.9004052262653,2896.224310514743,6274.098442093266,1469.3623382792432,11003.798393593308,5276.3849459631965,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,0,3500.1234403744925,0,0,0,0,0,0,0,0,0,27.592967,53.907222
