,title,name
238,Papa John's Pizza,papajohnsby
239,Viv cafe,vivcafecamelot
240,Smile Coffee,smile_coffee_minsk
241,Red cup,coffeeprofil
242,Пицца Темпо,pizzatempo
243,Кофе профиль,coffeeprofil
244,Кофе Саунд,coffeesoundby
245,Додо Пицца,dodopizza.minsk
246,Пицца Domino's Pizza,dominosby
247,Шаурмашечка,AmberBoxCafe
248,Шауroom,shayroom_cafe
249,Caffisso,caffisso
250,Пицца Темпо,pizzatempo
251,Papa John's Pizza,papajohnsby
252,Salad-drive.by,unitedcompany
253,Гриль Хауз,grillhouseminsk
254,MC Doner,mcdoner.by
255,Кофе Саунд,coffeesoundby
256,Суши Весла take away,sushivesla
257,Hotfix coffee,hotfixcafe
258,KFC,kfcbyofficial
259,Easy Soup,easysoup.minsk
260,Пицца Темпо,pizzatempo
261,Garage food&coffee,cafegarageby
262,Бистро Хлеб соль,cafe.minsk
263,Пицца Domino's Pizza,dominosby
264,Persian kebab,persian_kebab_
265,Wood Coffee House,wood_coffee_house
266,Amato Coffee,amato.coffee
267,Hata,hata.cake_coffee
268,Burger King,burgerkingbelarus
269,Burger King,burgerkingbelarus
270,Дастархан,1dlcv71txqjg3
271,Pin Coffee,r4mq7zidcrnp
272,Пит Stop,koronaby
273,Икомпот,i.kompot
274,Yummy Coffee,yummy.coffee
275,Sporting Club,sportingclub
276,Ginger Coffee,ginger_coffee
277,Перспектива. кофе Уручье,perspectiva.uruchye
278,Terra Pizza,terrapizza
279,Вкус Востока,cafevkusvostoka
280,Energy coffee,_energy_coffee_
281,Salty Dog,saltydog.underground
282,Dali,dali.coffee
283,KFC,kfcbyofficial
284,Пицца Domino's Pizza,dominosby
285,Футурис кофейня,futuriscoffee
286,6b Caffe,6b_kava_spectr
287,Кофе Саунд Спектр,coffeesoundby
288,PapaDoner,papadoner.by
289,Макдональдс,mcdonalds_belarus
290,Время кофе,Coffee_uruchie
291,Knok Knok,knok.knok.minsk
292,Jazz Coffee,jazz.coffee
293,Coffee room,buffetminsk
294,Кофта,coffeekofta
295,Терапия,coffee_terapia
296,Black Star Burger,minsk_blackstarburger
297,Chef Simit,chefsimit
298,Coffee Fox,coffee_fox_minsk
299,Hotfix coffee,hotfixcafe
300,Кофейное пространство Fabrika,fabrika.coffee_space
301,Easy Soup,easysoup.minsk
302,Культура еды,1wra5epe7z87q
303,ФрендсФиш,friendsfish_shop
304,Пицца Темпо,pizzatempo
305,Gan Bei,ganbei_by
306,Salateira,salateira.by
307,Васильки,restoran.vasilki
308,The Coffee Room,thecoffeeroom_minsk
309,Тьерри,thierry_bakery
310,Суши Мастер,sushimaster.minsk
311,Прошуттерия,prosciutteria_minsk
312,Edu Cafe Belarus,Educafeminsk
313,Граф Кафе,grafcafe
314,Coyote,bar_coyote
315,Time of Coffee,timeofcoffee
316,Wood & Fire,wood_fire_
317,Культура,cafecultura.by
318,Белые росы,belrosy.minsk
319,One More,onemorecoffeeroasters
320,Мята Lounge,myata.lounge.minsk
321,Took Coffee,took_coffee
322,Cubby,cubby12b
323,Bar Sapphire,sapphire_bar_makaenka
324,Мадлен,1l3h32yd50jdi
325,Wood Coffee House,wood_coffee_house
326,Мостик.by,mostic_restaurant
327,Территория Кофе,territoriya.coffee
328,Eatery,eatery.minsk
329,Перспектива кофе,perspectiva.coffee
330,Брусничная,st_brusnika
331,Lavazza,lavazza.point
332,Супер Медовики,supermedoviki
333,Pizza Tempo,pizzatempo
334,Burger King,burgerkingbelarus
335,Kavka,kavka_kafe
336,Эль Буррито,elburrito_doner
337,Beer mania,beermania_minsk
